name,address,city,state,name,zip,county,longitude,latitude,value,totalValue,yearAcq,active,stateMedianPrice,stateMedianSize
Governor's Mansion,1 Mansion Dr,Santa Fe,New Mexico,NM,87501,Santa Fe,-105.930279,35.703,7949,7949,1954,1,203675,1838
Governor's Mansion,5001 Central Ave,Cheyenne,Wyoming,WY,82009,Laramie,-104.839087,41.165,7875,7875,1976,1,250890,2052
Governor's Beach House,540 Gulf Way Dr,Gulf Shores,Alabama,AL,36542,Gulf Shores,-87.90165837,30.23114259,7446,15446,2019,1,138975,1800
Bridge's House,21 Mountain Rd,Concord,New Hampshire,NH,3301,Merrimack,-71.537831,43.239,6724,6724,1969,1,290163,1768
Cedar Crest,1 Southwest Cedar Crest Rd,Topeka,Kansas,KS,66606,Shawnee,-95.746802,39.066,6000,6000,1955,1,150657,1782
Governor's Western Residence,45 Patton Mountain Rd,Asheville,North Carolina,NC,28804,Buncombe,-82.5318841,35.62370772,6000,36000,1964,1,202215,1800
Washington Place,320 South Beretania St,Honolulu,Hawai'i,HI,96813,Honolulu,-157.856769,21.309,5000,5000,1918,1,636451,1308
Governor's Mansion,603 East South Temple,Salt Lake City,Utah,UT,84102,Salt Lake,-111.874074,40.77,5000,5000,1937,1,348376,2305
Governor's Mansion,100 Madison St,Jefferson City,Missouri,MO,65101,Cole,-92.169595,38.578,4422,4422,1871,1,162464,1650
Lawrence A. Young Cottage,Fort Hill & Huron Rds,Mackinac Island,Michigan,MI,49757,Mackinac,-84.62028324,45.8517466,4200,12900,1945,1,173277,1530
Executive Mansion,Capitol Sq,Richmond,Virginia,VA,23220,Richmond,-77.432173,37.538,3900,3900,1913,1,285229,1896
Governor's Ocean House,Shore Road,Lanoka Harbor,New Jersey,NJ,8734,Berkeley Township,-74.08188706,39.88649654,3600,15300,1953,1,335607,1740
Governor's Mansion,151 Kings Highway,Dover,Delaware,DE,19901,Kent,-75.523205,39.161,3584,3584,1965,1,254108,1800
